input,np,tempo,sd
input_250.txt,1,4.033557,0.054457
input_250.txt,2,2.101993,0.022967
input_250.txt,3,1.510006,0.015843
input_250.txt,4,1.172594,0.014194
input_250.txt,6,1.653453,0.044799
input_250.txt,8,1.409093,0.034290
input_250.txt,10,2.662984,0.140823
input_250.txt,12,3.351894,0.236009
input_260.txt,1,4.616316,0.051790
input_260.txt,2,2.394119,0.029703
input_260.txt,3,1.727118,0.039282
input_260.txt,4,1.357366,0.025923
input_260.txt,6,2.011785,0.112157
input_260.txt,8,1.686481,0.060523
input_260.txt,10,2.942982,0.121451
input_260.txt,12,3.672566,0.248839
input_270.txt,1,5.225609,0.105360
input_270.txt,2,2.703816,0.029059
input_270.txt,3,2.066905,0.088479
input_270.txt,4,1.612743,0.051638
input_270.txt,6,2.380946,0.045978
input_270.txt,8,1.997727,0.039990
input_270.txt,10,3.375243,0.202368
input_270.txt,12,4.095544,0.275848
input_280.txt,1,5.951740,0.172405
input_280.txt,2,3.058705,0.050062
input_280.txt,3,2.404649,0.113178
input_280.txt,4,1.922045,0.041036
input_280.txt,6,2.693665,0.148870
input_280.txt,8,2.298047,0.039966
input_280.txt,10,3.836834,0.098355
input_280.txt,12,4.509134,0.269951
input_290.txt,1,6.839708,0.180923
input_290.txt,2,3.502186,0.084254
input_290.txt,3,2.818194,0.130639
input_290.txt,4,2.230657,0.051352
input_290.txt,6,3.041525,0.283472
input_290.txt,8,2.664577,0.039185
input_290.txt,10,4.252351,0.180615
input_290.txt,12,5.006666,0.402851
input_300.txt,1,7.883751,0.230793
input_300.txt,2,4.045650,0.053117
input_300.txt,3,3.315994,0.139132
input_300.txt,4,2.602113,0.058943
input_300.txt,6,3.697926,0.056233
input_300.txt,8,3.097206,0.059487
input_300.txt,10,3.097206,0.059487
input_300.txt,12,3.097206,0.059487
