input,threads,seq_mean_s,seq_sd_s,omp_total_mean_s,omp_total_sd_s,omp_par_mean_s,omp_par_sd_s,fseq_mean,speedup,efficiency
input_70.txt,1,4.558500,0.079821,0.348913,0.002549,0.267520,0.001989,0.222166,13.064861,13.064861
input_70.txt,2,4.558500,0.079821,0.330265,0.009077,0.244605,0.008743,0.247154,13.802552,6.901276
input_70.txt,4,4.558500,0.079821,0.318397,0.034546,0.227814,0.027813,0.271850,14.317032,3.579258
input_70.txt,8,4.558500,0.079821,0.415780,0.091631,0.309691,0.065649,0.242427,10.963731,1.370466
input_70.txt,16,4.558500,0.079821,0.291123,0.015167,0.200943,0.009632,0.294887,15.658330,0.978646
input_75.txt,1,6.145500,0.104955,0.447077,0.032510,0.343968,0.026778,0.219876,13.745954,13.745954
input_75.txt,2,6.145500,0.104955,0.411675,0.014377,0.305944,0.013802,0.244808,14.928038,7.464019
input_75.txt,4,6.145500,0.104955,0.400574,0.041215,0.286659,0.031972,0.271377,15.341735,3.835434
input_75.txt,8,6.145500,0.104955,0.486792,0.016616,0.363575,0.015931,0.241283,12.624488,1.578061
input_75.txt,16,6.145500,0.104955,0.368141,0.023870,0.254200,0.016135,0.294700,16.693332,1.043333
input_80.txt,1,8.092500,0.104472,0.538709,0.027207,0.414941,0.022523,0.218925,15.022025,15.022025
input_80.txt,2,8.092500,0.104472,0.500449,0.004405,0.372495,0.003401,0.243502,16.170479,8.085240
input_80.txt,4,8.092500,0.104472,0.486273,0.050357,0.349152,0.038987,0.269056,16.641886,4.160471
input_80.txt,8,8.092500,0.104472,0.596750,0.012877,0.446328,0.011937,0.240136,13.560955,1.695119
input_80.txt,16,8.092500,0.104472,0.446977,0.022120,0.310855,0.014658,0.289947,18.104958,1.131560
input_85.txt,1,10.575000,0.151327,0.644883,0.002604,0.496962,0.002382,0.218454,16.398323,16.398323
input_85.txt,2,10.575000,0.151327,0.608803,0.003478,0.453787,0.002369,0.242497,17.370151,8.685075
input_85.txt,4,10.575000,0.151327,0.591798,0.051543,0.425210,0.039324,0.268370,17.869273,4.467318
input_85.txt,8,10.575000,0.151327,0.720628,0.026014,0.538259,0.022585,0.241153,14.674700,1.834337
input_85.txt,16,10.575000,0.151327,0.533616,0.024936,0.371835,0.016532,0.288671,19.817622,1.238601
input_90.txt,1,13.282000,0.051052,0.771198,0.002330,0.592500,0.001994,0.220680,17.222555,17.222555
input_90.txt,2,13.282000,0.051052,0.731457,0.003382,0.546368,0.002496,0.240990,18.158279,9.079140
input_90.txt,4,13.282000,0.051052,0.723955,0.076398,0.520857,0.058900,0.267669,18.346444,4.586611
input_90.txt,8,13.282000,0.051052,0.850967,0.017562,0.635055,0.012640,0.241623,15.608126,1.951016
input_90.txt,16,13.282000,0.051052,0.646399,0.035223,0.452559,0.023658,0.285519,20.547680,1.284230
input_95.txt,1,17.053500,0.095932,0.920662,0.005365,0.712237,0.003995,0.215605,18.523084,18.523084
input_95.txt,2,17.053500,0.095932,0.871149,0.028428,0.653888,0.028032,0.237720,19.575870,9.787935
input_95.txt,4,17.053500,0.095932,0.844219,0.082285,0.609378,0.062465,0.265225,20.200327,5.050082
input_95.txt,8,17.053500,0.095932,1.014169,0.024086,0.758087,0.015952,0.240431,16.815245,2.101906
input_95.txt,16,17.053500,0.095932,0.784579,0.049183,0.547208,0.031849,0.287957,21.735861,1.358491
input_100.txt,1,21.309000,0.143670,1.086675,0.028782,0.841064,0.024259,0.215296,19.609359,19.609359
input_100.txt,2,21.309000,0.143670,1.019989,0.003846,0.765396,0.003322,0.237719,20.891402,10.445701
input_100.txt,4,21.309000,0.143670,0.982201,0.075067,0.711695,0.057312,0.262475,21.695152,5.423788
input_100.txt,8,21.309000,0.143670,1.221256,0.044611,0.919408,0.037148,0.235468,17.448430,2.181054
input_100.txt,16,21.309000,0.143670,0.928789,0.057032,0.654003,0.038302,0.281634,22.942778,1.433924
input_105.txt,1,26.159500,0.146052,1.290590,0.067660,0.996640,0.054785,0.216995,20.269412,20.269412
input_105.txt,2,26.159500,0.146052,1.206616,0.034401,0.909551,0.030905,0.234570,21.680054,10.840027
input_105.txt,4,26.159500,0.146052,1.135941,0.077706,0.824656,0.059123,0.261109,23.028925,5.757231
input_105.txt,8,26.159500,0.146052,1.409743,0.030561,1.061044,0.026937,0.235622,18.556219,2.319527
input_105.txt,16,26.159500,0.146052,1.091982,0.061568,0.770685,0.039480,0.280014,23.955981,1.497249
