input,threads,T_seq,T_seq_sd,T_omp,T_omp_sd,S_justo,Eficiência
input_180.txt,1,5.750676,0.081818,5.972080,0.097307,0.962927,0.962927
input_180.txt,2,5.750676,0.081818,3.373682,0.080465,1.704570,0.852285
input_180.txt,4,5.750676,0.081818,2.172058,0.057576,2.647570,0.661892
input_180.txt,8,5.750676,0.081818,2.608056,0.183523,2.204966,0.275621
input_180.txt,16,5.750676,0.081818,2.661148,0.031446,2.160976,0.135061
input_180.txt,32,5.750676,0.081818,2.769719,0.026695,2.076267,0.064883
input_190.txt,1,6.957934,0.112360,7.106081,0.106944,0.979152,0.979152
input_190.txt,2,6.957934,0.112360,4.039629,0.101082,1.722419,0.861209
input_190.txt,4,6.957934,0.112360,2.576539,0.043902,2.700496,0.675124
input_190.txt,8,6.957934,0.112360,3.015836,0.146153,2.307133,0.288392
input_190.txt,16,6.957934,0.112360,3.163489,0.047107,2.199449,0.137466
input_190.txt,32,6.957934,0.112360,3.359165,0.034452,2.071328,0.064729
input_200.txt,1,8.238375,0.116747,8.504205,0.140623,0.968741,0.968741
input_200.txt,2,8.238375,0.116747,4.781735,0.115161,1.722884,0.861442
input_200.txt,4,8.238375,0.116747,3.047886,0.098990,2.702980,0.675745
input_200.txt,8,8.238375,0.116747,3.502976,0.139524,2.351822,0.293978
input_200.txt,16,8.238375,0.116747,3.755359,0.056187,2.193765,0.137110
input_200.txt,32,8.238375,0.116747,3.950000,0.058074,2.085665,0.065177
input_210.txt,1,9.734638,0.117034,10.030278,0.141717,0.970525,0.970525
input_210.txt,2,9.734638,0.117034,5.613376,0.136963,1.734186,0.867093
input_210.txt,4,9.734638,0.117034,3.567922,0.096456,2.728377,0.682094
input_210.txt,8,9.734638,0.117034,4.090523,0.235174,2.379803,0.297475
input_210.txt,16,9.734638,0.117034,4.334274,0.047435,2.245967,0.140373
input_210.txt,32,9.734638,0.117034,4.480328,0.044441,2.172751,0.067898
input_220.txt,1,11.349675,0.128365,11.864040,0.179022,0.956645,0.956645
input_220.txt,2,11.349675,0.128365,6.529250,0.111857,1.738282,0.869141
input_220.txt,4,11.349675,0.128365,4.171815,0.134966,2.720560,0.680140
input_220.txt,8,11.349675,0.128365,4.973240,0.175519,2.282149,0.285269
input_220.txt,16,11.349675,0.128365,4.961369,0.056338,2.287610,0.142976
input_220.txt,32,11.349675,0.128365,5.304909,0.142361,2.139466,0.066858
input_230.txt,1,13.266795,0.152376,13.600950,0.141226,0.975431,0.975431
input_230.txt,2,13.266795,0.152376,7.586850,0.144249,1.748657,0.874328
input_230.txt,4,13.266795,0.152376,4.773473,0.091806,2.779275,0.694819
input_230.txt,8,13.266795,0.152376,5.417277,0.181242,2.448979,0.306122
input_230.txt,16,13.266795,0.152376,5.824958,0.055604,2.277578,0.142349
input_230.txt,32,13.266795,0.152376,5.943822,0.049297,2.232031,0.069751
input_240.txt,1,15.445230,0.150005,15.735255,0.151826,0.981568,0.981568
input_240.txt,2,15.445230,0.150005,8.759761,0.153356,1.763202,0.881601
input_240.txt,4,15.445230,0.150005,5.496404,0.114895,2.810061,0.702515
input_240.txt,8,15.445230,0.150005,6.179256,0.142809,2.499529,0.312441
input_240.txt,16,15.445230,0.150005,6.550408,0.111748,2.357904,0.147369
input_240.txt,32,15.445230,0.150005,6.781935,0.059068,2.277408,0.071169
input_250.txt,1,17.553025,0.121938,18.119275,0.160932,0.968749,0.968749
input_250.txt,2,17.553025,0.121938,10.035662,0.168260,1.749065,0.874533
input_250.txt,4,17.553025,0.121938,6.253370,0.102970,2.806970,0.701743
input_250.txt,8,17.553025,0.121938,7.024109,0.186401,2.498968,0.312371
input_250.txt,16,17.553025,0.121938,7.500641,0.114959,2.340203,0.146263
input_250.txt,32,17.553025,0.121938,7.765220,0.076307,2.260467,0.070640
input_260.txt,1,20.199435,0.176556,20.560275,0.125312,0.982450,0.982450
input_260.txt,2,20.199435,0.176556,11.447485,0.205228,1.764530,0.882265
input_260.txt,4,20.199435,0.176556,7.127542,0.145344,2.833997,0.708499
input_260.txt,8,20.199435,0.176556,7.917607,0.209448,2.551205,0.318901
input_260.txt,16,20.199435,0.176556,8.485877,0.074430,2.380359,0.148772
input_260.txt,32,20.199435,0.176556,8.739328,0.081665,2.311326,0.072229
input_270.txt,1,22.847235,0.138509,23.483960,0.141396,0.972887,0.972887
input_270.txt,2,22.847235,0.138509,12.880775,0.155036,1.773747,0.886873
input_270.txt,4,22.847235,0.138509,8.068859,0.164140,2.831532,0.707883
input_270.txt,8,22.847235,0.138509,8.852973,0.237732,2.580742,0.322593
input_270.txt,16,22.847235,0.138509,9.630753,0.150944,2.372321,0.148270
input_270.txt,32,22.847235,0.138509,9.823927,0.143988,2.325672,0.072677
input_280.txt,1,25.840575,0.149559,26.442615,0.101809,0.977232,0.977232
input_280.txt,2,25.840575,0.149559,14.628275,0.234183,1.766481,0.883240
input_280.txt,4,25.840575,0.149559,9.049572,0.112590,2.855447,0.713862
input_280.txt,8,25.840575,0.149559,9.980489,0.381262,2.589109,0.323639
input_280.txt,16,25.840575,0.149559,10.939060,0.065478,2.362230,0.147639
input_280.txt,32,25.840575,0.149559,10.963755,0.130077,2.356909,0.073653
