input,threads,T_seq,T_seq_sd,T_omp,T_omp_sd,S_justo,Eficiência
input_180.txt,1,5.834098,0.157022,5.937554,0.113354,0.982576,0.982576
input_180.txt,2,5.834098,0.157022,5.424160,0.091487,1.075576,0.537788
input_180.txt,4,5.834098,0.157022,4.849907,0.245587,1.202930,0.300733
input_180.txt,8,5.834098,0.157022,6.049746,0.028539,0.964354,0.120544
input_180.txt,16,5.834098,0.157022,4.695917,0.058651,1.242377,0.077649
input_180.txt,32,5.834098,0.157022,4.687604,0.064592,1.244580,0.038893
input_190.txt,1,6.985837,0.126885,7.072431,0.137399,0.987756,0.987756
input_190.txt,2,6.985837,0.126885,6.532490,0.130651,1.069399,0.534699
input_190.txt,4,6.985837,0.126885,5.854179,0.169579,1.193308,0.298327
input_190.txt,8,6.985837,0.126885,7.220938,0.154912,0.967442,0.120930
input_190.txt,16,6.985837,0.126885,5.636218,0.088400,1.239455,0.077466
input_190.txt,32,6.985837,0.126885,5.622167,0.068109,1.242552,0.038830
input_200.txt,1,8.271850,0.127028,8.401293,0.155980,0.984592,0.984592
input_200.txt,2,8.271850,0.127028,7.740566,0.110039,1.068636,0.534318
input_200.txt,4,8.271850,0.127028,7.138911,0.275948,1.158699,0.289675
input_200.txt,8,8.271850,0.127028,8.333534,0.044487,0.992598,0.124075
input_200.txt,16,8.271850,0.127028,6.657141,0.082446,1.242553,0.077660
input_200.txt,32,8.271850,0.127028,6.672699,0.075847,1.239656,0.038739
input_210.txt,1,9.715532,0.140667,9.877180,0.104506,0.983634,0.983634
input_210.txt,2,9.715532,0.140667,9.252215,0.583187,1.050076,0.525038
input_210.txt,4,9.715532,0.140667,8.308404,0.235020,1.169362,0.292341
input_210.txt,8,9.715532,0.140667,9.642843,0.083153,1.007538,0.125942
input_210.txt,16,9.715532,0.140667,7.863662,0.074823,1.235497,0.077219
input_210.txt,32,9.715532,0.140667,7.866910,0.096568,1.234987,0.038593
input_220.txt,1,11.415885,0.184183,11.588260,0.138704,0.985125,0.985125
input_220.txt,2,11.415885,0.184183,10.846550,0.812520,1.052490,0.526245
input_220.txt,4,11.415885,0.184183,9.673531,0.215327,1.180116,0.295029
input_220.txt,8,11.415885,0.184183,11.061775,0.060876,1.032012,0.129001
input_220.txt,16,11.415885,0.184183,9.201509,0.090551,1.240654,0.077541
input_220.txt,32,11.415885,0.184183,9.222074,0.106083,1.237887,0.038684
input_230.txt,1,13.200145,0.127563,13.409130,0.122182,0.984415,0.984415
input_230.txt,2,13.200145,0.127563,12.400955,0.120019,1.064446,0.532223
input_230.txt,4,13.200145,0.127563,11.200100,0.224862,1.178574,0.294644
input_230.txt,8,13.200145,0.127563,12.846820,0.578018,1.027503,0.128438
input_230.txt,16,13.200145,0.127563,10.717750,0.093381,1.231615,0.076976
input_230.txt,32,13.200145,0.127563,10.702985,0.083709,1.233314,0.038541
input_240.txt,1,15.241600,0.155858,15.491775,0.123700,0.983851,0.983851
input_240.txt,2,15.241600,0.155858,14.400905,0.329364,1.058378,0.529189
input_240.txt,4,15.241600,0.155858,13.004050,0.312105,1.172066,0.293017
input_240.txt,8,15.241600,0.155858,14.410910,0.083214,1.057643,0.132205
input_240.txt,16,15.241600,0.155858,12.359010,0.114762,1.233238,0.077077
input_240.txt,32,15.241600,0.155858,12.397070,0.097700,1.229452,0.038420
input_250.txt,1,17.553630,0.165361,17.767795,0.147971,0.987946,0.987946
input_250.txt,2,17.553630,0.165361,16.458920,0.178482,1.066512,0.533256
input_250.txt,4,17.553630,0.165361,14.926585,0.230935,1.175998,0.294000
input_250.txt,8,17.553630,0.165361,16.306870,0.081123,1.076456,0.134557
input_250.txt,16,17.553630,0.165361,14.227230,0.161350,1.233805,0.077113
input_250.txt,32,17.553630,0.165361,14.230195,0.092290,1.233548,0.038548
input_260.txt,1,19.932470,0.125964,20.281205,0.123257,0.982805,0.982805
input_260.txt,2,19.932470,0.125964,18.756230,0.134451,1.062712,0.531356
input_260.txt,4,19.932470,0.125964,17.113650,0.272878,1.164712,0.291178
input_260.txt,8,19.932470,0.125964,18.426115,0.101900,1.081751,0.135219
input_260.txt,16,19.932470,0.125964,16.254330,0.165643,1.226287,0.076643
input_260.txt,32,19.932470,0.125964,16.238610,0.130315,1.227474,0.038359
input_270.txt,1,22.675280,0.141706,23.112140,0.401880,0.981098,0.981098
input_270.txt,2,22.675280,0.141706,21.308060,0.155825,1.064164,0.532082
input_270.txt,4,22.675280,0.141706,19.391980,0.294115,1.169312,0.292328
input_270.txt,8,22.675280,0.141706,20.692335,0.098426,1.095830,0.136979
input_270.txt,16,22.675280,0.141706,18.494095,0.127005,1.226082,0.076630
input_270.txt,32,22.675280,0.141706,18.521905,0.224578,1.224241,0.038258
input_280.txt,1,25.564020,0.143886,25.945885,0.149140,0.985282,0.985282
input_280.txt,2,25.564020,0.143886,24.082470,0.140261,1.061520,0.530760
input_280.txt,4,25.564020,0.143886,21.828995,0.275892,1.171104,0.292776
input_280.txt,8,25.564020,0.143886,23.255280,0.137240,1.099278,0.137410
input_280.txt,16,25.564020,0.143886,20.889230,0.133967,1.223789,0.076487
