input,threads,T_seq,T_seq_sd,T_serEQ,T_serEQ_sd,T_omp,T_omp_sd,S_justo,Eficiência,seq_frac
input_70.txt,1,4.734560,0.200663,0.376586,0.015863,0.385383,0.026013,0.977173,0.977173,0.232580
input_70.txt,2,4.734560,0.200663,0.376586,0.015863,0.340275,0.015103,1.106711,0.553356,0.263215
input_70.txt,4,4.734560,0.200663,0.376586,0.015863,0.327806,0.050224,1.148808,0.287202,0.284155
input_70.txt,8,4.734560,0.200663,0.376586,0.015863,0.436606,0.056768,0.862531,0.107816,0.243007
input_70.txt,16,4.734560,0.200663,0.376586,0.015863,0.292945,0.012236,1.285518,0.080345,0.306478
input_80.txt,1,8.098090,0.008457,0.543647,0.003619,0.531836,0.001503,1.022208,1.022208,0.231119
input_80.txt,2,8.098090,0.008457,0.543647,0.003619,0.512284,0.000588,1.061222,0.530611,0.260822
input_80.txt,4,8.098090,0.008457,0.543647,0.003619,0.522913,0.045361,1.039651,0.259913,0.283101
input_80.txt,8,8.098090,0.008457,0.543647,0.003619,0.593348,0.043755,0.916236,0.114530,0.258489
input_80.txt,16,8.098090,0.008457,0.543647,0.003619,0.440064,0.005136,1.235382,0.077211,0.304713
input_90.txt,1,13.812550,0.485005,0.810877,0.015964,0.857671,0.009957,0.945441,0.945441,0.236407
