input,threads,T_seq,T_seq_sd,T_omp,T_omp_sd,S_justo,Eficiência
input_180.txt,1,5.971842,0.092273,5.970615,0.093154,1.000206,1.000206
input_180.txt,2,5.971842,0.092273,3.267481,0.069870,1.827659,0.913829
input_180.txt,4,5.971842,0.092273,1.882410,0.096044,3.172445,0.793111
input_180.txt,8,5.971842,0.092273,2.037786,0.156505,2.930554,0.366319
input_180.txt,16,5.971842,0.092273,1.697780,0.007711,3.517442,0.219840
input_180.txt,32,5.971842,0.092273,1.778498,0.009544,3.357801,0.104931
input_190.txt,1,7.167472,0.114149,7.210104,0.121605,0.994087,0.994087
input_190.txt,2,7.167472,0.114149,3.926095,0.097640,1.825598,0.912799
input_190.txt,4,7.167472,0.114149,2.231777,0.134882,3.211554,0.802889
input_190.txt,8,7.167472,0.114149,2.469021,0.311955,2.902961,0.362870
input_190.txt,16,7.167472,0.114149,2.022211,0.010657,3.544374,0.221523
input_190.txt,32,7.167472,0.114149,2.142470,0.032431,3.345425,0.104545
input_200.txt,1,8.563443,0.168620,8.577337,0.141307,0.998380,0.998380
input_200.txt,2,8.563443,0.168620,4.664766,0.131215,1.835771,0.917886
input_200.txt,4,8.563443,0.168620,2.631232,0.076471,3.254537,0.813634
input_200.txt,8,8.563443,0.168620,2.822001,0.225611,3.034529,0.379316
input_200.txt,16,8.563443,0.168620,2.421923,0.073860,3.535803,0.220988
input_200.txt,32,8.563443,0.168620,2.458844,0.011023,3.482711,0.108835
input_210.txt,1,10.071579,0.154032,10.107876,0.165820,0.996409,0.996409
input_210.txt,2,10.071579,0.154032,5.458131,0.082806,1.845243,0.922621
input_210.txt,4,10.071579,0.154032,3.064976,0.073747,3.286022,0.821505
input_210.txt,8,10.071579,0.154032,3.397357,0.312794,2.964534,0.370567
input_210.txt,16,10.071579,0.154032,2.797382,0.021180,3.600359,0.225022
input_210.txt,32,10.071579,0.154032,2.907291,0.021654,3.464249,0.108258
input_220.txt,1,11.731025,0.146940,11.834395,0.148867,0.991265,0.991265
input_220.txt,2,11.731025,0.146940,6.372002,0.094471,1.841027,0.920513
input_220.txt,4,11.731025,0.146940,3.550785,0.077025,3.303784,0.825946
input_220.txt,8,11.731025,0.146940,3.840695,0.282364,3.054402,0.381800
input_220.txt,16,11.731025,0.146940,3.238713,0.012705,3.622126,0.226383
input_220.txt,32,11.731025,0.146940,3.354778,0.023355,3.496811,0.109275
input_230.txt,1,13.607010,0.163508,13.709145,0.163744,0.992550,0.992550
input_230.txt,2,13.607010,0.163508,7.317805,0.014768,1.859439,0.929720
input_230.txt,4,13.607010,0.163508,4.100809,0.074265,3.318128,0.829532
input_230.txt,8,13.607010,0.163508,4.569367,0.339424,2.977876,0.372235
input_230.txt,16,13.607010,0.163508,3.712057,0.013086,3.665625,0.229102
input_230.txt,32,13.607010,0.163508,3.833401,0.013873,3.549592,0.110925
input_240.txt,1,15.514820,0.043100,15.617410,0.045288,0.993431,0.993431
input_240.txt,2,15.514820,0.043100,8.423118,0.019846,1.841933,0.920967
input_240.txt,4,15.514820,0.043100,4.668237,0.037764,3.323486,0.830871
input_240.txt,8,15.514820,0.043100,5.260405,0.476801,2.949358,0.368670
input_240.txt,16,15.514820,0.043100,4.253743,0.009352,3.647334,0.227958
input_240.txt,32,15.514820,0.043100,4.393514,0.012825,3.531301,0.110353
input_250.txt,1,17.776745,0.058771,17.860110,0.051324,0.995332,0.995332
input_250.txt,2,17.776745,0.058771,9.624235,0.027412,1.847081,0.923540
input_250.txt,4,17.776745,0.058771,5.343865,0.053039,3.326571,0.831643
input_250.txt,8,17.776745,0.058771,5.766986,0.496951,3.082502,0.385313
input_250.txt,16,17.776745,0.058771,4.848960,0.012863,3.666094,0.229131
input_250.txt,32,17.776745,0.058771,4.997429,0.018875,3.557178,0.111162
input_260.txt,1,20.200245,0.062579,20.329285,0.052562,0.993653,0.993653
input_260.txt,2,20.200245,0.062579,10.961590,0.028768,1.842821,0.921411
input_260.txt,4,20.200245,0.062579,6.084677,0.056629,3.319855,0.829964
input_260.txt,8,20.200245,0.062579,6.520241,0.601321,3.098083,0.387260
input_260.txt,16,20.200245,0.062579,5.493869,0.015572,3.676871,0.229804
input_260.txt,32,20.200245,0.062579,5.654864,0.012837,3.572189,0.111631
input_270.txt,1,22.868235,0.098250,23.034985,0.059676,0.992761,0.992761
input_270.txt,2,22.868235,0.098250,12.390965,0.035164,1.845557,0.922778
input_270.txt,4,22.868235,0.098250,6.897758,0.089637,3.315314,0.828828
input_270.txt,8,22.868235,0.098250,7.685049,0.393698,2.975678,0.371960
input_270.txt,16,22.868235,0.098250,6.223329,0.017092,3.674598,0.229662
input_270.txt,32,22.868235,0.098250,6.375367,0.015409,3.586968,0.112093
